algorithm,n,seed,found,runtime_seconds,nodes_expanded,solution
forward_checking,15,2,1,0.00031256675720214844,20,9 3 13 0 14 6 10 5 11 1 4 2 8 12 7
forward_checking,15,3,1,0.00038123130798339844,26,12 4 7 14 3 11 2 8 5 13 10 0 6 1 9
forward_checking,15,4,1,0.0004830360412597656,32,9 7 1 14 8 0 13 3 5 12 10 4 6 11 2
forward_checking,15,5,1,0.0006906986236572266,60,2 4 8 12 3 6 13 11 0 14 10 5 1 9 7
forward_checking,15,6,1,0.0004417896270751953,31,6 10 3 14 0 5 9 12 1 13 8 2 4 7 11
forward_checking,15,7,1,0.0003829002380371094,27,3 11 4 12 0 6 13 7 1 8 14 2 10 5 9
forward_checking,15,8,1,0.0005185604095458984,39,13 5 12 9 0 6 4 1 10 14 7 11 3 8 2
forward_checking,15,9,1,0.0005719661712646484,41,13 3 14 2 7 10 6 1 12 0 11 8 5 9 4
forward_checking,15,10,1,0.0005202293395996094,39,4 9 0 10 1 7 5 13 11 14 6 3 12 2 8
forward_checking,15,11,1,0.00035572052001953125,23,10 3 7 11 2 8 1 14 9 13 6 4 0 12 5
forward_checking,15,12,1,0.0012164115905761719,109,14 4 2 13 8 12 7 1 3 6 0 9 11 5 10
forward_checking,15,13,1,0.0007097721099853516,59,7 3 1 12 10 8 11 4 2 13 6 9 0 5 14
forward_checking,15,14,1,0.0003612041473388672,24,7 9 4 8 13 0 10 1 14 6 3 12 2 11 5
forward_checking,15,15,1,0.00037932395935058594,27,4 13 5 3 9 12 2 8 14 7 1 10 0 6 11
forward_checking,15,16,1,0.002772092819213867,255,10 3 11 14 12 2 5 7 4 0 13 9 6 8 1
forward_checking,15,17,1,0.0016748905181884766,150,10 12 0 11 4 7 1 13 9 2 6 14 3 5 8
forward_checking,15,18,1,0.001363992691040039,123,0 7 11 1 14 2 10 8 3 12 4 13 5 9 6
forward_checking,15,19,1,0.0008289813995361328,69,13 3 9 4 12 5 0 2 11 8 14 7 10 1 6
forward_checking,15,20,1,0.001157522201538086,104,9 0 2 7 1 8 12 5 13 11 4 6 3 14 10
forward_checking,15,21,1,0.0003528594970703125,24,5 3 12 4 2 14 10 1 7 9 13 6 8 0 11
forward_checking,15,22,1,0.0003521442413330078,23,4 1 7 11 14 2 9 13 3 8 6 12 10 0 5
forward_checking,15,23,1,0.0002982616424560547,16,7 2 10 12 6 0 11 4 14 9 3 5 8 1 13
forward_checking,15,24,1,0.0006935596466064453,59,4 8 3 9 14 10 2 0 6 12 1 5 7 13 11
forward_checking,15,25,1,0.00035452842712402344,23,1 13 4 10 3 5 9 12 14 7 2 0 6 8 11
forward_checking,15,26,1,0.00027298927307128906,16,4 9 7 2 11 8 1 13 6 3 12 0 5 10 14
forward_checking,15,27,1,0.0007333755493164062,60,0 14 11 4 7 3 10 13 1 5 2 6 9 12 8
forward_checking,15,28,1,0.0003123283386230469,20,4 12 9 3 14 11 8 5 2 0 7 10 13 6 1
forward_checking,15,29,1,0.0027620792388916016,257,2 4 13 1 9 14 12 7 3 8 11 5 0 10 6
